pid,wave,group_f,z_verbal,z_money,att_baseline,prior_engagement,polknow_total,pol_interest_general,newsuse_online,edu_time,age,gender_f,url_int_visits_yn,att_pre,att_post,att_signed,att_abs,kno_pre,kno_post,kno_signed,n_visits_total,exp_topic_uptake_n,exp_topic_uptake_yn,n_topic_search,n_topic_url,n_topic_domains,total_duration,topic_duration,exp_topic_uptake_dw,exp_topic_uptake_logdw,n_scored,n_domains,exp_q_dur,exp_q_unw,exp_q_log,n_scored_news,n_domains_news,exp_q_dur_news,exp_q_unw_news,exp_q_log_news,n_scored_all,n_domains_all,exp_q_dur_all,exp_q_unw_all,exp_q_log_all,meets_activity_threshold,hab_overall_dw_pc1,hab_news_dw_pc1,hab_news_corrected_dw_pc1,hab_overall_dw_sd_pc1,hab_news_dw_sd_pc1,hab_news_corrected_dw_sd_pc1,hab_overall_level_group,hab_news_level_group,hab_news_corrected_level_group,hab_overall_diversity_group,hab_news_diversity_group,hab_news_corrected_diversity_group,hab_overall_level_diversity_group,hab_news_level_diversity_group,hab_news_corrected_level_diversity_group,nfc,topic,y_abs,y_signed,effort_count,q_primary,t_verbal,t_money
330632295516,2,control,0,0,4,0,0.7647058823529411,4,7,9,61,female,0,4,6,2,2,2,3,1,177,4,1,4,0,2,20857,145,0.006952102411660354,0.022328379090937083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.692127683105942,0.692127683105942,0.6921276831059421,TRUE,0.5207415306394879,0.5981278198973752,0.7674234209874586,0.1701534754338779,0.04466745734087525,0.05371820732192747,low,low,high,high,low,low,low_level-high_diversity,low_level-low_diversity,high_level-low_diversity,6,Renewable-energy transition,2,2,4,NA,0,0
330682908780,2,monetary,NA,1,4,0,0.7647058823529411,4,8,15,60,not female,0,4,4,0,0,1,2,1,423,0,0,0,0,0,26371,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.5136608975968179,0.7039054576228722,0.7286572214723172,0.1694106071569574,0.04732393542318613,0.07967660433389948,low,high,high,high,low,high,low_level-high_diversity,high_level-low_diversity,high_level-high_diversity,4.5,Renewable-energy transition,0,0,0,NA,0,1
330730649244,2,verbal,1,NA,5,1,0.8823529411764706,4,7,12,65,not female,0,5,6,1,1,3,3,0,273,0,0,0,0,0,17974,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.5136848602165549,0.6405854774358004,0.658380198334082,0.13014080658859398,0.05361168347748332,0.06248726070651116,low,low,low,high,low,high,low_level-high_diversity,low_level-low_diversity,low_level-high_diversity,4.5,Renewable-energy transition,1,1,0,NA,1,0
330737286096,2,control,0,0,7,1,0.8235294117647058,5,8,25,54,not female,0,7,6,-1,1,2,2,0,173,0,0,0,0,0,8527,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7886359272135363,0.7808158710835031,0.7961817491078723,0.08476554929062087,0.06214018793598359,0.07785217297273651,high,high,high,low,high,high,high_level-low_diversity,high_level-high_diversity,high_level-high_diversity,5,Renewable-energy transition,1,-1,0,NA,0,0
330822715644,2,monetary,NA,1,7,1,0.8235294117647058,4,4,20,37,not female,1,7,7,0,0,4,3,-1,226,1,1,0,1,1,8169,44,0.0053862161831313505,0.005755640566044864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6948709493087555,0.6623273457445571,0.6987734684622213,0.06165430704943204,0.06109648441543625,0.05430765432973642,high,low,low,low,high,high,high_level-low_diversity,low_level-high_diversity,low_level-high_diversity,6,Renewable-energy transition,0,0,1,NA,0,1
330983937864,2,control,0,0,7,1,0.4117647058823529,5,5,12,49,not female,0,7,7,0,0,2,2,0,47,0,0,0,0,0,3309,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7413916765083348,0.789159337361048,0.7804010218861719,0.10241942621354562,0.0157890349975273,0.03095681141515303,high,high,high,high,low,low,high_level-high_diversity,high_level-low_diversity,high_level-low_diversity,7,Renewable-energy transition,0,0,0,NA,0,0
330992489232,2,monetary,NA,1,4,1,0.7058823529411765,5,8,12,46,not female,0,4,5,1,1,2,3,1,283,0,0,0,0,0,8514,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.5119160885394669,0.5565853930452839,0.7771777574979656,0.16434679486330617,0.00640526317491231,0.03054207597172971,low,low,high,high,low,low,low_level-high_diversity,low_level-low_diversity,high_level-low_diversity,6,Renewable-energy transition,1,1,0,NA,0,1
331066087632,2,monetary,NA,1,7,0,0.8235294117647058,5,8,19,46,not female,1,7,7,0,0,1,3,2,722,5,1,2,3,4,14253,130,0.009120886830842629,0.008550207928341881,2,2,0.6870519106308407,0.733853872609057,0.7153771184026907,2,2,0.6870519106308407,0.733853872609057,0.7153771184026907,4,3,0.6842264839277047,0.701062502871291,0.6967594343834294,TRUE,0.7313873462560649,0.7412674715074302,0.7405522397226477,0.07380597065896224,0.0784536226433635,0.07034967430941805,high,high,high,low,high,high,high_level-low_diversity,high_level-high_diversity,high_level-high_diversity,6.5,Renewable-energy transition,0,0,5,0.6870519106308407,0,1
331199533980,2,control,0,0,7,1,0.8235294117647058,5,7,16,52,not female,0,7,6,-1,1,2,3,1,164,0,0,0,0,0,7436,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7854052033534915,0.7891657410468744,0.7892488037400899,0.03522659414475967,0.02054878142324592,0.02005756116879714,high,high,high,low,low,low,high_level-low_diversity,high_level-low_diversity,high_level-low_diversity,5.5,Renewable-energy transition,1,-1,0,NA,0,0
331290572328,2,verbal,1,NA,4,NA,0.29411764705882354,4,5,18,53,female,0,4,6,2,2,2,2,0,648,0,0,0,0,0,24097,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6656288337788328,NA,NA,0.0391379199263284,NA,NA,high,NA,NA,low,NA,NA,high_level-low_diversity,NA,NA,6,Renewable-energy transition,2,2,0,NA,1,0
